s_km,tau_h,time_to_hydrate_h
0.0,5.4531168441145015,8.873949579831933
0.26778242677824265,5.464503958184796,8.672268907563026
0.5355648535564853,5.474924491749576,8.268907563025211
0.803347280334728,5.483916807919,7.865546218487395
1.0711297071129706,5.491134611484254,7.663865546218489
1.338912133891213,5.496408750443079,7.260504201680672
1.606694560669456,5.499783033135223,6.857142857142858
1.8744769874476988,5.501519245611251,6.453781512605042
2.1422594142259412,5.502069468434915,6.050420168067228
2.4100418410041837,5.502016995423349,5.84873949579832
2.677824267782426,5.501991580840591,5.445378151260505
2.9456066945606696,5.502570612800287,5.042016806722689
3.213389121338912,5.504183500881921,4.638655462184874
3.4811715481171546,5.507038948506851,4.235294117647059
3.7489539748953975,5.511091362164116,4.033613445378151
4.01673640167364,5.516053780375549,3.630252100840336
4.2845188284518825,5.521453735608235,3.226890756302521
4.552301255230125,5.526719558044441,2.823529411764706
4.8200836820083675,5.531280218055886,2.4201680672268906
5.08786610878661,5.534661758277467,2.2184873949579833
5.355648535564852,5.536565990769313,1.815126050420168
5.623430962343097,5.536920108056676,1.411764705882353
5.891213389121339,5.535885195350637,1.0084033613445378
6.158995815899582,5.533799916024223,0.6050420168067226
6.426778242677824,5.531013948921787,0.40336134453781514
6.694560669456067,5.5275951998958,0.0
6.962343096234309,5.523113628936591,0.0
7.230125523012552,5.517035038900239,0.0
7.497907949790795,5.510031045309735,0.0
7.7656903765690375,5.505206738674187,0.0
8.03347280334728,5.506999677383674,0.0
8.301255230125522,5.517373010221156,0.0
8.569037656903765,5.533614650686846,0.0
8.836820083682008,5.550730616170268,0.0
9.10460251046025,5.5650367600675565,0.0
9.372384937238493,5.575342654216053,0.0
9.640167364016735,5.581938131376812,0.0
9.907949790794978,5.585314318847727,0.0
10.17573221757322,5.585725529489971,0.0
10.443514644351463,5.583391519611372,0.0
10.711297071129705,5.578785691813618,0.0
10.97907949790795,5.572740217215377,0.0
11.246861924686193,5.566348551143199,0.0
11.514644351464435,5.560733012431341,0.0
11.782426778242678,5.556774757739265,0.0
12.05020920502092,5.554910881651236,0.0
12.317991631799163,5.555070069545112,0.0
12.585774058577405,5.55675186647327,0.0
12.853556485355648,5.559197447350059,0.0
13.121338912133892,5.561583166190897,0.0
13.389121338912133,5.56318641766381,0.0
13.656903765690377,5.56350138768162,0.0
13.924686192468618,5.562302149782726,0.0
14.192468619246862,5.559658789943276,0.0
14.460251046025103,5.555913164648786,0.0
14.728033472803347,5.551619748672027,0.0
14.99581589958159,5.547457271956958,0.0
15.263598326359832,5.544119920245295,0.0
15.531380753138075,5.542202165961505,0.0
15.799163179916317,5.542096184283696,0.0
